Sentence|Translation
Vous êtes embrassés?|Are you kissed?
Oui.|Yes.
Mais non!|No, I don't!
Vous êtes embrassés?|Are you kissed?
Oui.|Yes.
Donc tu voulais d'une meuf comme ça?|So you wanted a chick like that?
Mais il y a quoi en fait?|But what's the matter?
C'est quoi le problème?|What's the matter?
Ça va vite.|It's fast.
Ça va très vite.|It's going very fast.
En fait, c'est la troisième fois que je la vois.|Actually, this is the third time I've seen her.
On s'est très mal introduit les deux premières fois.|We broke in very badly the first two times.
Tu l'as vu trois fois une heure.|You've seen him three times an hour.
Et alors, au bout d'un moment, si t'as le feeling, t'as le feeling.|And then, after a while, if you have the feeling, you have the feeling.
Elle a choqué en fait.|She actually shocked me.
Il y a quoi ?|What's the matter?
Non mais je suis choquée dans le sens où en fait, hier, tu me disais qu'en gros limite, je te le dis à ma manière, je suis du sud, je suis très, tu vois, comme Tata Kotal.|No, but I'm shocked that, in fact, yesterday, you were telling me that, basically, I'm telling you in my own way, I'm from the south, I'm very, you know, like Tata Kotal.
Qu'elle bouffe à tous les râteliers et que ça te plaisait pas.|That you don't like it.
Et là, tu l'embrasses.|And then you kiss him.
Pas du tout.|Not at all.
Déjà, j'ai pas dit ça.|Already, I didn't say that.
Tu te déformes.|You're distorting yourself.
C'est ce que je viens de te dire.|That's what I just told you.
Moi, je parle à ma manière.|I speak in my own way.
Ok, bah parle à ta manière en fait.|Okay, well, talk your way actually.
A ce moment-là, je lui dis, ne remixe pas les propos des gens.|At that point, I tell him, don't remix people's words.
Il a pas dit ça.|He didn't say that.
Si on peut être tous les deux, on est tous les deux et qu'elle a rien à dire, en fait.|If we can both be, we're both, and she has nothing to say, actually.
Elle le connaît depuis hier.|She's known him since yesterday.
À quelle heure tu te permets de dire à quelqu'un ce qu'il doit faire alors que tu le connais depuis moins de 24 heures, en fait ?|What time do you allow yourself to tell someone what to do when you've known him for less than 24 hours, in fact?
C'est un truc de fou.|It's a crazy thing.
J'ai dit que oui, ça m'avait fait chier, en fait.|I said yes, it pissed me off, actually.
Mais au bout d'un moment, j'ai parlé...|But after a while, I talked...
Mais oui, arrête de parler, parce que là, en fait, tu te mêles de ça, tu te regardes pas.|But, yeah, stop talking, 'cause now, actually, you're getting involved, you're not looking at yourself.
En fait, je suis jalouse, en fait.|Actually, I'm jealous, actually.
Je vois Manon qui est très jalouse, limite elle s'énerve.|I see Manon who's very jealous, limit her anger.
Bah moi franchement ça me fait quelque chose.|Well, frankly, that's something to me.
Si tu t'énerves comme ça, c'est que t'as quelque chose envers moi.|If you get mad like that, it's because you have something to do with me.
C'est que finalement t'avais bien aimé qu'on se rapproche.|It's just that finally you liked us getting closer.
Voilà moi c'est ce que je comprends.|Here's what I understand.
Je sais pas trop comment réagir devant tous les habitants en plus.|I don't know how to react to all the other people.
Franchement c'est une situation très complexe.|Frankly, this is a very complex situation.
On se mêle de tout, c'est comme ça, c'est la vie en communauté.|It's like this, it's community life.
Tu es dans une aventure, on se mêle de tout.|You're in an affair, we're getting mixed up in everything.
