Sentence,Emotion,Translated
"What you guys don't understand is, for us, kissing is as important as any part of it.",happiness,"Ce que vous ne comprenez pas, c'est, pour nous, que les embrasser sont aussi importants que n'importe quelle partie de cela."
"Yeah, right!.......Y'serious?",neutral,"Ouais, c'est vrai! ....... Y'Serious?"
"Oh, yeah!",happiness,Oh ouais!
Everything you need to know is in that first kiss.,happiness,Tout ce que vous devez savoir est dans ce premier baiser.
Absolutely.,happiness,Absolument.
"Yeah, I think for us, kissing is pretty much like an opening act, y'know? I mean it's like the stand-up comedian you have to sit through before Pink Floyd comes out.",happiness,"Ouais, je pense que pour nous, embrasser ressemble à un acte d'ouverture, tu sais?Je veux dire que c'est comme le comédien debout sur lequel vous devez vous asseoir avant que Pink Floyd ne sorte."
"Yeah, and-and it's not that we don't like the comedian, it's that-that... that's not why we bought the ticket.",neutral,"Ouais, et et ce n'est pas que nous n'aimons pas le comédien, c'est ça - ce n'est pas pourquoi nous avons acheté le billet."
"The problem is, though, after the concert's over, no matter how great the show was, you girls are always looking for the comedian again, y'know? I mean, we're in the car, we're fighting traffic... basically just trying to stay awake.",anger,"Le problème est, cependant, après la fin du concert, peu importe à quel point le spectacle était génial, vous les filles recherchez toujours le comédien, vous savez?Je veux dire, nous sommes dans la voiture, nous combattons la circulation ... en gros, essayant simplement de rester éveillé."
"Yeah, well, word of advice: Bring back the comedian. Otherwise next time you're gonna find yourself sitting at home, listening to that album alone.",sadness,"Ouais, eh bien, mot de conseil: ramenez le comédien.Sinon, la prochaine fois, vous vous retrouverez assis à la maison, en écoutant cet album seul."
....Are we still talking about sex?,happiness,.... parlons-nous toujours de sexe?
"No, it's good, it is good, it's just that- mm- doesn't she seem a little angry?",fear,"Non, c'est bien, c'est bien, c'est juste ça - MM - ne semble-t-elle pas un peu en colère?"
"Well, she has issues.",sadness,"Eh bien, elle a des problèmes."
Does she.,fear,Est-ce qu'elle.
"He's out banging other women over the head with a club, while she sits at home trying to get the mastodon smell out of the carpet!",anger,"Il sortira d'autres femmes au-dessus de la tête avec un club, tandis qu'elle est assise à la maison en essayant de faire sortir l'odeur du mastodon du tapis!"
"Marsha, these are cave people. Okay? They have issues like 'Gee, that glacier's getting kinda close.' See?",neutral,"Marsha, ce sont des grottes.D'accord?Ils ont des problèmes comme «Gee, ce glacier se rapproche un peu».Voir?"
"Speaking of issues, isn't that your ex-wife?",anger,"En parlant de problèmes, n'est-ce pas votre ex-femme?"
No. No.,fear,Non non.
"Yes, it is. Carol! Hi!",happiness,Oui c'est le cas.Carol!Salut!
"Okay, okay, yes, it is. How about I'll, uh, catch up with you in the Ice Age.",fear,"D'accord, d'accord, oui, ça l'est.Que diriez-vous, je vous rattraperai à la période glaciaire."
Hi.,neutral,Salut.
So.,neutral,Donc.
"You look great. I, uh... I hate that.",fear,"Tu as l'air super.Moi, euh ... je déteste ça."
Sorry. You look good too.,happiness,Désolé.Tu as l'air bien aussi.
"Ah, well, in here, anyone who... stands erect... So what's new? Still, uh...",happiness,"Ah, eh bien, ici, quiconque ... est dressé ... alors quoi de neuf?Pourtant, euh ..."
A lesbian?,neutral,Une lesbienne?
"Well... you never know. How's, um.. how's the family?",happiness,"Eh bien ... on ne sait jamais.Comment va, comment va la famille?"
"Marty's still totally paranoid. Oh, and, uh-",anger,"Marty est toujours totalement paranoïaque.Oh, et, euh-"
"Why- why are you here, Carol?",fear,"Pourquoi- pourquoi es-tu ici, Carol?"
I'm pregnant.,neutral,Je suis enceinte.
Pregnant?!,fear,Enceinte?!
"Sorry I'm late, I was stuck at work. There was this big dinosaur.. thing.. anyway.",neutral,"Désolé, je suis en retard, j'étais coincé au travail.Il y avait ce gros dinosaure .. chose .. Quoi qu'il en soit."
Hi.,neutral,Salut.
"Ross, you remember Susan.",neutral,"Ross, tu te souviens de Susan."
How could I forget?,anger,Comment pourrais-je oublier?
Ross.,neutral,Ross.
"Hello, Susan. Good shake. Good shake. So, uh, we're just waiting for...?",neutral,"Bonjour, Susan.Bonne Shake.Bonne Shake.Alors, euh, nous attendons juste ...?"
Dr. Oberman.,neutral,DocteurOberman.
..Dr. Oberman. Okay. And is he-,neutral,..Dr.Oberman.D'accord.Et est-ce-
She.,neutral,Elle.
"-she, of course, she- uh- familiar with our.. special situation?",neutral,"-elle, bien sûr, elle est familière avec notre .. situation spéciale?"
"Yes, and she's very supportive.",neutral,"Oui, et elle est très favorable."
"Okay, that's great. No, I'm- Oh.",neutral,"D'accord, c'est super.Non, je suis- oh."
Thanks.,neutral,Merci.
"Quack, quack..",happiness,"Quack, charlatan .."
Ross? That opens my cervix.,fear,Ross?Cela ouvre mon col de l'utérus.
Barry?,neutral,Barry?
C'mon in.,neutral,Allez dans.
Are you sure?,fear,Es-tu sûr?
"Yeah! It's fine, it's fine. Robbie's gonna be here for hours.",neutral,"Ouais!C'est bien, ça va.Robbie va être là pendant des heures."
Huh?!,fear,Hein?!
"So, how ya doin?",happiness,"Alors, comment vas-tu?"
I'm- uh- I'm okay... You look great!,sadness,Je suis- euh- je vais bien ... tu es superbe!
"Yeah, well..",neutral,"Ouais, eh bien ..."
"Dr. Farber, Jason Greenstein's gagging.",neutral,"Dr Farber, bâillonnement de Jason Greenstein."
Be right there. Be back in a sec.,neutral,Être juste là.Être de retour dans une seconde.
I dumped him.,sadness,Je l'ai jeté.
Okay.,neutral,D'accord.
"So, um- so how's this, uh, how's this gonna work? Y'know, with us? Y'know, when, like, important decisions have to be made?",fear,"Alors, alors comment ça va, euh, comment ça va fonctionner?Tu sais, avec nous?Vous savez, quand, comme, des décisions importantes doivent être prises?"
Give me a 'for instance'.,anger,Donnez-moi un «par exemple».
"Well, uh, uh, I don't know, okay, okay, how about with the, uh, with the baby's name?",fear,"Eh bien, euh, euh, je ne sais pas, d'accord, d'accord, que diriez-vous avec le, euh, avec le nom du bébé?"
Marlon-,happiness,Marlon-
Marlon?!,anger,Marlon ?!
"-if it's a boy, Minnie if it's a girl.",happiness,"-Si c'est un garçon, Minnie si c'est une fille."
...As in Mouse?,anger,... comme à la souris?
As in my grandmother.,neutral,Comme dans ma grand-mère.
"Still, you- you say Minnie, you hear Mouse. Um, how about, um.. how about Julia?",fear,"Pourtant, vous - vous dites Minnie, vous entendez la souris.Euh, que diriez-vous, euh .. Et Julia?"
Julia..,neutral,Julia ..
We agreed on Minnie.,happiness,Nous avons convenu de Minnie.
"'S'funny, um, uh, we agreed we'd spend the rest of our lives together. Things change, roll with the punches. I believe Julia's on the table..?",happiness,"«S'ilny, euh, euh, nous avons convenu que nous passions le reste de nos vies ensemble.Les choses changent, roulez avec les coups de poing.Je crois que Julia est sur la table ..?"
Sorry about that. So. What have you been up to?,neutral,Désolé pour ça.Donc.Qu'avez-vous fait?
"Oh, not much. I-I got a job.",fear,"Oh, pas grand-chose.I-J'ai obtenu un emploi."
"Oh, that's great.",happiness,"Oh, c'est super."
Why are- why are you so tanned?,fear,Pourquoi - pourquoi êtes-vous si bronzé?
"Oh, I, uh- I went to Aruba.",fear,"Oh, moi, euh- je suis allé à Aruba."
Oh no. You went on our honeymoon alone?,anger,Oh non.Vous avez fait notre lune de miel seule?
"No. I went with, uh.. Now, this may hurt.",neutral,"Non. Je suis allé avec, euh .. Maintenant, cela peut faire mal."
Me?!,neutral,Moi?!
No! I went with Mindy.,fear,Non!Je suis allé avec Mindy.
"Mindy?! My maid of honour, Mindy?!",anger,"Mindy ?!Ma demoiselle d'honneur, Mindy ?!"
"Yeah, well, uh, we're kind of a thing now.",fear,"Ouais, eh bien, euh, nous sommes une sorte de chose maintenant."
"Oh! Well, um.. You've got plugs!",anger,"Oh!Eh bien, euh ... vous avez des plugs!"
Careful! They haven't quite taken yet.,anger,Prudent!Ils n'ont pas encore pris tout à fait.
And you've got lenses! But you hate sticking your finger in your eye!,anger,Et vous avez des objectifs!Mais vous détestez coller votre doigt dans vos yeux!
"Not for her. Listen, I really wanted to thank you.",happiness,"Pas pour elle.Écoutez, je voulais vraiment vous remercier."
Okay..,anger,D'accord..
"See, about a month ago, I wanted to hurt you. More than I've ever wanted to hurt anyone in my life. And I'm an orthodontist.",neutral,"Vous voyez, il y a environ un mois, je voulais vous blesser.Plus que ce que j'ai jamais voulu blesser quiconque dans ma vie.Et je suis orthodontiste."
Wow.,fear,Ouah.
"You know, you were right? I mean, I thought we were happy. We weren't happy. But with Mindy, now I'm happy. Spit.",happiness,"Tu sais, tu avais raison?Je veux dire, je pensais que nous étions heureux.Nous n'étions pas heureux.Mais avec Mindy, maintenant je suis heureux.Cracher."
What?,fear,Quoi?
Me.,sadness,Moi.
"Anyway, um, I guess this belongs to you. And thank you for giving it to me.",sadness,"Quoi qu'il en soit, euh, je suppose que cela vous appartient.Et merci de me l'ai donné."
"Well, thank you for giving it back.",sadness,"Eh bien, merci de l'avoir rendu."
Hello?!,fear,Bonjour?!
"Oh, please! What's wrong with Helen?",anger,"Oh, s'il vous plaît!Quel est le problème avec Helen?"
Helen Geller? I don't think so.,anger,Helen Geller?Je ne pense pas.
Hello? It's not gonna be Helen Geller.,happiness,Bonjour?Ce ne sera pas Helen Geller.
Thank you!,happiness,Merci!
"No, I mean it's not Geller.",happiness,"Non, je veux dire que ce n'est pas Geller."
"What, it's gonna be Helen Willick?",anger,"Quoi, ça va être Helen Willick?"
"No, actually, um, we talked about Helen Willick-Bunch.",neutral,"Non, en fait, euh, nous avons parlé d'Helen Willick-Bunch."
"Well, wait a minute, wha- why is she in the title?",anger,"Eh bien, attendez une minute, pourquoi est-elle dans le titre?"
It's my baby too.,happiness,C'est aussi mon bébé.
"Oh, 's'funny, really? Um, I don't remember you making any sperm.",anger,"Oh, 'S'funny, vraiment?Euh, je ne me souviens pas que tu as fait du sperme."
"Yeah, and we all know what a challenge that is!",anger,"Oui, et nous savons tous ce qu'est un défi!"
"All right, you two, stop it!",anger,"Très bien, vous deux, arrêtez-vous!"
"No no no, she gets a credit, hey, I'm in there too.",anger,"Non non non, elle obtient un crédit, hé, je suis là aussi."
Ross. You're not actually suggesting Helen Willick-Bunch-Geller? 'Cause I think that borders on child abuse.,neutral,Ross.Vous ne suggérez pas vraiment Helen Willick-Bunch-Geller?Parce que je pense que les frontières sur la maltraitance des enfants.
"Of course not, I'm... suggesting Geller-Willick-Bunch.",happiness,"Bien sûr que non, je suis ... suggérant Geller-Willick-Bunch."
"Oh, no, nonononono, you see what he's doing? He knows no-one's gonna say all those names, so they'll wind up calling her Geller, then he gets his way!",anger,"Oh, non, nononono, tu vois ce qu'il fait?Il sait que personne ne dira tous ces noms, alors ils finiront par l'appeler Geller, puis il arrive!"
"My way?! You-you think this is my way? Believe me, of all the ways I ever imagined this moment in my life being, this is not my way- y'know what? Uh, um, this is too hard. I'm not, I can't do-",anger,"Mon chemin ?!Tu penses que c'est ma façon?Croyez-moi, de toutes les façons dont j'ai imaginé ce moment de ma vie, ce n'est pas mon chemin - vous savez quoi?Euh, euh, c'est trop dur.Je ne suis pas, je ne peux pas faire"
Knock knock!How are we today? Any nausea?,neutral,Knock Knock! Comment allons-nous aujourd'hui?Des nausées?
Yeah. Yeah. A little.,neutral,Ouais.Ouais.Un peu.
"Well, I was just wondering about the mother-to-be, but.. thanks for sharing. Uh, lie back..",neutral,"Eh bien, je me demandais juste sur la future mère, mais .. merci pour le partage.Euh, allongez-vous."
"You- uh- y'know what, I'm gonna go. I don't- I don't think I can be involved in this particular thing right now.",sadness,"Tu- Euh- tu sais quoi, je vais y aller.Je ne le fais pas - je ne pense pas pouvoir être impliqué dans cette chose particulière en ce moment."
Oh my God.,happiness,Oh mon Dieu.
Look at that.,happiness,Regardez ça.
I know.,happiness,Je sais.
Well? Isn't that amazing?,happiness,Bien?N'est-ce pas incroyable?
What are we supposed to be seeing here?,neutral,Que sommes-nous censés voir ici?
"I dunno, but.. I think it's about to attack the Enterprise.",happiness,"Je ne sais pas, mais .. je pense que c'est sur le point d'attaquer l'entreprise."
