Sentence,Emotion
"Il est super!Je veux dire que nous passons un si bon moment ensemble!Il est tellement drôle et tellement doux, et je ne suis pas du tout attiré par lui !!",happiness
TB12 est la plus grande,happiness
Les Recaptchas d'aujourd'hui étaient amusants.,happiness
Ces moments heureux me manquent.,sadness
"Tu n'es pas psychique, 49 est déraisonnable.",sadness
"Quoth le [NAME], ""pas ne l'ai Je fait!""",sadness
"Les mecs nus dans le magazine Playgirl ! C'était comme le magazine Playboy, mais avec des hommes nus.",anger
"Si ce genre de gars sont votre seule option, vous pourriez être mieux hors célibataire...",anger
Je veux récupérer mon putain de gâteau.,anger
Disons que je suis moins passionnée par cette idée maintenant que je ne l'étais après Mania l'année dernière...,surprise
Dans un autre environnement ?,surprise
"Mon Dieu, [NAME] !",surprise
Ce serait non.,fear
Espace autistique sida,fear
"D'abord j'avais peur, j'étais pétrifié...",fear
La Ligue veut qu'une équipe de DE LA travaille enfin si mal,disgust
Le vrai problème est la poursuite malveillante engagée par Monsanto contre les petits agriculteurs.,disgust
"Je northeastward pense papa qu'une femme se soucie d'une telle take. S'ils l'ont fait, ils ont leurs propres problèmes.",disgust
